,negative,neutral,positive
negative,0.8571428571428571,0.12292358803986711,0.019933554817275746
neutral,0.07523510971786834,0.664576802507837,0.2601880877742947
positive,0.01686874011597259,0.08856088560885608,0.8945703742751713
