split,accuracy,macro_f1,weighted_f1,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_recall,positive_f1,positive_support
train,0.9940327613104524,0.9931727456622751,0.9940525129520856,0.9989779231398201,0.9969400244798041,0.9979579334286298,4902,0.9764397905759162,0.9958047292143402,0.9860271903323263,5244,0.9985714285714286,0.9925132309281012,0.9955331132258691,15494
validation,0.8575039494470774,0.8210757773480445,0.8564024496548044,0.89,0.8826446280991735,0.8863070539419087,605,0.6813008130081301,0.6516329704510109,0.6661367249602543,643,0.9030769230769231,0.918622848200313,0.9107835531419706,1917
final_test,0.8406120497290405,0.8038434618663985,0.8416887726236059,0.8657718120805369,0.8571428571428571,0.8614357262103506,602,0.6366366366366366,0.664576802507837,0.6503067484662577,638,0.9050666666666667,0.8945703742751713,0.8997879109225875,1897
