,precision,recall,f1-score,support
negative,0.8657718120805369,0.8571428571428571,0.8614357262103506,602.0
neutral,0.6366366366366366,0.664576802507837,0.6503067484662577,638.0
positive,0.9050666666666667,0.8945703742751713,0.8997879109225875,1897.0
accuracy,0.8406120497290405,0.8406120497290405,0.8406120497290405,0.8406120497290405
macro avg,0.8024917051279467,0.8054300113086218,0.8038434618663985,3137.0
weighted avg,0.8429328249006453,0.8406120497290405,0.8416887726236059,3137.0
