sentiment_label,precision,recall,f1-score
negative,0.8657718120805369,0.8571428571428571,0.8614357262103506
neutral,0.6366366366366366,0.664576802507837,0.6503067484662577
positive,0.9050666666666667,0.8945703742751713,0.8997879109225875
